Designator,Mid X,Mid Y,Rotation,Layer
C1,165.75,-56.3,90.0,top
C2,172.1,-54.5375,90.0,top
C3,169.2375,-51.4,0.0,top
C4,175.0,-49.75,180.0,top
C5,168.775,-83.0,180.0,top
C6,168.7125,-76.6,0.0,top
C7,181.4125,-69.55,0.0,top
C8,181.55,-60.55,0.0,top
C9,181.4125,-51.75,0.0,top
CN1,170.58456,-87.0825,90.0,top
CN2,176.79412,-87.0825,90.0,top
D1,163.5,-64.325,90.0,top
D2,163.743988,-79.525,90.0,top
D3,184.5,-64.4125,90.0,top
J1,179.46,-81.0,270.0,top
R1,163.5,-60.9125,90.0,top
R2,163.743988,-83.3125,270.0,top
R3,184.5,-61.0,90.0,top
SW1,174.0,-46.4,180.0,top
SW2,178.05,-55.95,0.0,top
SW3,178.05,-73.75,0.0,top
SW4,178.05,-64.8,0.0,top
U1,169.325,-62.0375,180.0,top
U2,168.8625,-79.7375,270.0,top
Y1,169.35,-54.5,90.0,top
